municipality,parent_name,point_index,group_id,group_title,score
Академический,Юго-Западный,15,commercial_household,Коммерческая и бытовая инфраструктура,99.900000
Академический,Юго-Западный,15,recreation_environment,Рекреация и экологическая комфортность,60.910000
Академический,Юго-Западный,15,safety_economic_stability,Безопасность и экономическая стабильность района,79.890000
Академический,Юго-Западный,16,transport_accessibility,Транспортная доступность,95.070000
Академический,Юго-Западный,16,social_infrastructure,Социальная инфраструктура,85.380000
Академический,Юго-Западный,16,commercial_household,Коммерческая и бытовая инфраструктура,88.520000
Академический,Юго-Западный,16,recreation_environment,Рекреация и экологическая комфортность,65.030000
Академический,Юго-Западный,16,safety_economic_stability,Безопасность и экономическая стабильность района,79.520000
Академический,Юго-Западный,17,transport_accessibility,Транспортная доступность,92.230000
Академический,Юго-Западный,17,social_infrastructure,Социальная инфраструктура,87.520000
Академический,Юго-Западный,17,commercial_household,Коммерческая и бытовая инфраструктура,93.060000
Академический,Юго-Западный,17,recreation_environment,Рекреация и экологическая комфортность,57.270000
Академический,Юго-Западный,17,safety_economic_stability,Безопасность и экономическая стабильность района,83.540000
Академический,Юго-Западный,18,transport_accessibility,Транспортная доступность,75.650000
Академический,Юго-Западный,18,social_infrastructure,Социальная инфраструктура,83.760000
Академический,Юго-Западный,18,commercial_household,Коммерческая и бытовая инфраструктура,96.590000
Академический,Юго-Западный,18,recreation_environment,Рекреация и экологическая комфортность,57.420000
Академический,Юго-Западный,18,safety_economic_stability,Безопасность и экономическая стабильность района,84.770000
Академический,Юго-Западный,19,transport_accessibility,Транспортная доступность,97.690000
Академический,Юго-Западный,19,social_infrastructure,Социальная инфраструктура,81.310000
Академический,Юго-Западный,19,commercial_household,Коммерческая и бытовая инфраструктура,93.150000
Академический,Юго-Западный,19,recreation_environment,Рекреация и экологическая комфортность,55.160000
Академический,Юго-Западный,19,safety_economic_stability,Безопасность и экономическая стабильность района,86.180000
Академический,Юго-Западный,20,transport_accessibility,Транспортная доступность,98.430000
Академический,Юго-Западный,20,social_infrastructure,Социальная инфраструктура,80.480000
Академический,Юго-Западный,20,commercial_household,Коммерческая и бытовая инфраструктура,85.620000
Академический,Юго-Западный,20,recreation_environment,Рекреация и экологическая комфортность,58.770000
Академический,Юго-Западный,20,safety_economic_stability,Безопасность и экономическая стабильность района,86.180000
Академический,Юго-Западный,21,transport_accessibility,Транспортная доступность,100.000000
Академический,Юго-Западный,21,social_infrastructure,Социальная инфраструктура,75.560000
Академический,Юго-Западный,21,commercial_household,Коммерческая и бытовая инфраструктура,92.900000
